,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,(3007.571428571429-1.7053025658242404e-13j),(-5114.624174696773+4225.7080364859985j),(1048.3938317756345+528.8286626935275j),(-1214.7271295994738+7174.267918537146j),(-2680.6803563641633-7528.014178293244j),(788.6229760153335-1681.3134510377836j),(3285.7865255183333+1866.2615454688944j),(4217.241596681779+1888.7444563389492j),(262.95238095238085+160.61904761904762j),(-1593.64553762746+1767.8467085020907j),(-23.782365608335002+4183.9797859860355j),(-5741.715268495142-3001.026115125215j),(-2803.9863103025027+3483.700107421041j),(-4612.35263402973+4900.928234721048j),(1069.982960695321-2237.262620598856j),(-1166.8950663437727+6970.992792729992j),(4665.952380952381-3.1602234057139693e-13j),(-1166.8950663437706-6970.992792729995j),(1069.9829606953201+2237.262620598856j),(-4612.352634029731-4900.928234721049j),(-2803.986310302503-3483.700107421041j),(-5741.715268495143+3001.026115125211j),(-23.78236560833379-4183.979785986036j),(-1593.6455376274616-1767.8467085020923j),(262.9523809523807-160.61904761904796j),(4217.241596681781-1888.7444563389497j),(3285.7865255183324-1866.2615454688964j),(788.6229760153336+1681.3134510377843j),(-2680.6803563641606+7528.014178293245j),(-1214.727129599474-7174.267918537146j),(1048.3938317756335-528.8286626935275j),(-5114.624174696772-4225.708036485998j)
1,(-207.47619047619116+4.060244204343429e-14j),(3881.2234024647373-207.04752109701442j),(-4866.134454443723-1675.398312456542j),(3249.6853658274263+3645.405593080698j),(328.209334952979+544.1173755531189j),(6211.119027190367-2.072494192908943j),(4650.583477476948+5496.827333494567j),(-4159.266227972946+4185.125915099081j),(-1277.8095238095236+5835.285714285713j),(8283.408656889027+889.2719094826932j),(-586.6012798075662-3253.486465619305j),(-4173.825350969533+1912.9762816000991j),(-2145.9236206672645+361.45070888645364j),(3955.241592912868+900.1622446593052j),(765.3903520124379-1531.0454449037472j),(1299.080200324724-564.7174604516094j),(-128.3333333333337+2.165463575649829e-13j),(1299.0802003247236+564.7174604516106j),(765.3903520124375+1531.0454449037475j),(3955.2415929128665-900.1622446593055j),(-2145.923620667264-361.4507088864528j),(-4173.825350969535-1912.9762816001012j),(-586.601279807567+3253.486465619306j),(8283.408656889025-889.2719094826941j),(-1277.809523809523-5835.285714285714j),(-4159.266227972947-4185.12591509908j),(4650.58347747695-5496.827333494566j),(6211.119027190369+2.0724941929082497j),(328.20933495297953-544.1173755531196j),(3249.6853658274263-3645.4055930806967j),(-4866.134454443724+1675.3983124565423j),(3881.2234024647387+207.0475210970132j)
2,(218.38095238095246-8.458842092382145e-15j),(-834.1295362839941+477.0995557935985j),(711.7166987262392-679.9503453035557j),(-239.6744287467335-872.1999509471353j),(1511.9194381556497-151.4915758043697j),(2145.6707280665564+2074.869341958756j),(1501.0352762902617-504.2778674040973j),(323.5492484380462-628.6538414561094j),(4461.619047619048+2330j),(-2500.433414196523+730.8656403173782j),(-2156.405695949623+1188.075974910773j),(-1935.115384496525-1266.8361207100902j),(5047.3186570824455+434.6036622908692j),(-3175.0155935346834+1259.0349278579365j),(-3194.2510409716397+1090.498735106553j),(1994.195999801474-2524.3453828637575j),(-1508.0952380952383-1.001526903738046e-13j),(1994.1959998014745+2524.3453828637575j),(-3194.2510409716397-1090.4987351065533j),(-3175.0155935346825-1259.0349278579356j),(5047.3186570824455-434.60366229086884j),(-1935.1153844965252+1266.8361207100897j),(-2156.405695949623-1188.0759749107733j),(-2500.433414196523-730.8656403173783j),(4461.619047619048-2330j),(323.5492484380464+628.6538414561091j),(1501.0352762902614+504.2778674040972j),(2145.6707280665564-2074.869341958756j),(1511.919438155649+151.49157580436906j),(-239.67442874673281+872.1999509471353j),(711.7166987262398+679.9503453035555j),(-834.1295362839943-477.09955579359837j)
3,(12586.476190476189-2.517351406692926e-13j),(4091.1496727520916-4713.483807414113j),(14984.554417024981+5017.8325162245j),(4367.586699576582-1044.558546188191j),(1001.6494431045759-7715.692436395437j),(26.205982699406547+868.542117978772j),(191.94665082229253-1615.401209555041j),(-3044.595500444306-2743.7516444307976j),(-3371.2857142857133+2711.190476190476j),(3837.838949172517+6244.715384304257j),(-3100.708354207512-4239.09625748345j),(2068.032990525427-4019.211313960585j),(3166.5410330859017+2632.402801699801j),(-997.5284684190378-1631.7446711343161j),(1181.7310958840435-4766.2434840848655j),(2203.690626518267-1997.4018526382094j),(1375.5238095238092-1.039422516311918e-12j),(2203.690626518268+1997.4018526382083j),(1181.7310958840435+4766.243484084866j),(-997.5284684190374+1631.7446711343161j),(3166.5410330859013-2632.4028016998004j),(2068.032990525429+4019.211313960587j),(-3100.708354207514+4239.096257483452j),(3837.8389491725156-6244.715384304257j),(-3371.2857142857106-2711.190476190475j),(-3044.595500444305+2743.7516444307957j),(191.94665082229153+1615.4012095550395j),(26.2059826994064-868.542117978773j),(1001.6494431045738+7715.692436395439j),(4367.586699576582+1044.5585461881903j),(14984.554417024981-5017.832516224496j),(4091.149672752095+4713.483807414114j)
4,(1342.8095238095236-1.4210854715202004e-14j),(-36.85886219198935+444.2913683351135j),(765.4269750095293+1108.8609286771264j),(99.23774173243758-824.0975649195187j),(1950.8447295699275+1579.2348790466278j),(473.4755002462766-1542.3781533989952j),(405.1837446034014-1398.1086924753888j),(-693.678954451459-1570.1362240039125j),(-174.04761904761887-2275.714285714286j),(4879.962494596046+1505.2379709627487j),(1977.742732458903+2856.879451913749j),(-1016.6429287266743+434.7926536752671j),(-3389.2256819508807-1026.4794066676563j),(764.5983116501542-3486.9977294718346j),(3802.122738404356+518.7062159234081j),(-4018.664731426223+2888.3564964371008j),(-15864.238095238094+1.191004966607406e-12j),(-4018.664731426222-2888.3564964371j),(3802.1227384043564-518.7062159234081j),(764.5983116501544+3486.997729471836j),(-3389.22568195088+1026.479406667658j),(-1016.6429287266747-434.79265367526733j),(1977.7427324589044-2856.879451913749j),(4879.962494596047-1505.2379709627494j),(-174.04761904761972+2275.7142857142867j),(-693.6789544514592+1570.136224003913j),(405.18374460340164+1398.108692475389j),(473.475500246276+1542.3781533989954j),(1950.8447295699273-1579.2348790466278j),(99.23774173243783+824.0975649195184j),(765.4269750095291-1108.860928677126j),(-36.85886219198905-444.29136833511296j)
